batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
11,all_fields,5,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0|BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement__Document Name_0|MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT__Document Name_0|ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT__Document Name_0|RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement__Document Name_0,51.128140449523926,2.146261215209961,54072,0,0,54072,0,6679,6679,0.0,0.0,0.087467,0.054072,0.033395
12,all_fields,5,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT__Document Name_0|CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement__Document Name_0|ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT__Document Name_0|BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1__Document Name_0|NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT__Document Name_0,34.888267278671265,1.8093981742858887,28295,0,0,28295,0,4797,4797,0.0,0.0,0.05228,0.028295,0.023985
13,all_fields,5,"LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0|SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Document Name_0|MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT__Document Name_0|CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT__Document Name_0|GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4__Document Name_0",42.09228014945984,1.6138317584991455,44233,0,0,44233,0,5656,5656,0.0,0.0,0.072513,0.044233,0.02828
14,all_fields,5,"OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2__Document Name_0|MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT__Document Name_0|FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement__Document Name_0|BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT__Document Name_0|DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT__Document Name_0",29.861709356307983,1.3421995639801025,27316,0,0,27316,0,4388,4388,0.0,0.0,0.049256,0.027316,0.02194
15,all_fields,5,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT__Document Name_0|WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Document Name_0|SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT__Document Name_0|VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement__Document Name_0|ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement__Document Name_0",48.828243255615234,1.9321284294128418,47801,0,0,47801,0,6305,6305,0.0,0.0,0.079326,0.047801,0.031525
16,all_fields,5,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1__Document Name_0|GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT__Document Name_0|MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT__Document Name_0|VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT__Document Name_0|ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement__Document Name_0,59.422218561172485,3.133089065551758,74558,0,0,74558,0,7483,7483,0.0,0.0,0.111973,0.074558,0.037415
17,all_fields,5,"FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT__Document Name_0|LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT__Document Name_0|OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT__Document Name_0|XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement__Document Name_0",54.56281399726868,1.7917680740356445,58430,0,0,58430,0,6789,6789,0.0,0.0,0.092375,0.05843,0.033945
18,all_fields,5,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement__Document Name_0|CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2__Document Name_0|XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT__Document Name_0|DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT__Document Name_0|ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement__Document Name_0,33.35305571556091,2.5812718868255615,33674,0,0,33674,0,4681,4681,0.0,0.0,0.057079,0.033674,0.023405
19,all_fields,5,"FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement__Document Name_0|SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0|THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT__Document Name_0|DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT__Document Name_0|VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT__Document Name_0",54.308091163635254,2.059772253036499,46939,0,0,46939,0,6688,6688,0.0,0.0,0.080379,0.046939,0.03344
20,all_fields,5,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement__Document Name_0|IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT__Document Name_0|PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Document Name_0|AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement__Document Name_0,52.10240292549133,2.7142088413238525,74484,0,0,74484,0,6796,6796,0.0,0.0,0.108464,0.074484,0.03398
